0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
68,NACAC New Life Invitational,The Bahamas National Stadium,Nassau,BAH,16 JUN 2024,16 JUN 2024,840,82,81048,66,0,"
81888
",,,
69,Meeting International de Montreuil,Stade des Grands Pêchers,Montreuil,FRA,16 MAY 2024,16 MAY 2024,1175,57,80642,75,0,"
81817
",,,
70,Cork City Sports,Munster Technological University Track,Cork,IRL,09 JUL 2024,09 JUL 2024,820,84,80911,69,0,"
81731
",,,
71,Motonet GP Kuortane,Kuortaneen keskusurheilukenttä,Kuortane,FIN,22 JUN 2024,22 JUN 2024,1310,48,80408,80,0,"
81718
",,,
72,Anhalt 2024 - 26. Internationales Leichtathletik Meeting,Paul-Greifzu-Stadion,Dessau,GER,24 MAY 2024,24 MAY 2024,975,72,80694,73,0,"
81669
",,,
73,Meeting Iberoamericano Huelva 2024,Estadio Iberoamericano,Huelva,ESP,30 APR 2024,30 APR 2024,1155,58,80434,79,0,"
81589
",,,
74,Desert Heat Classic,Univ. of Arizona Roy P. Drachman Stadium,Tucson,AZ,USA,27 APR 2024,27 APR 2024,300,179,81171,63,0,"
81471
",,
75,East Coast Relays,University of North Florda Jax Track at Hodges Stadium,Jacksonville,FL,USA,26 APR 2024,27 APR 2024,820,84,80640,76,0,"
81460
",,
76,Meeting International d'Athlétisme de la Province de Liège,Stade Naimette-Xhovémont,Liège,BEL,19 JUN 2024,19 JUN 2024,725,94,80689,74,0,"
81414
",,,
77,Meeting voor Mon,AtletiekArena Gaston Roelants Kessel-Lo / Hal 5,Leuven,BEL,27 JUL 2024,27 JUL 2024,510,122,80902,70,0,"
81412
",,,
78,Night of Athletics,Stadion De Veen,Heusden-Zolder,BEL,15 JUN 2024,15 JUN 2024,860,80,80545,78,0,"
81405
",,,
79,Copenhagen Athletics Games,Østerbro Stadium,Copenhagen,DEN,03 SEP 2024,03 SEP 2024,745,91,80585,77,0,"
81330
",,,
80,11th Kinami Michitaka Memorial Athletics Meet,Yanmar Stadium Nagai,Osaka,JPN,12 MAY 2024,12 MAY 2024,555,116,80733,72,0,"
81288
",,,
81,Trond Mohn Games,Fana Stadion,Bergen,NOR,22 MAY 2024,22 MAY 2024,1140,59,80147,88,0,"
81287
",,,
82,Big Ten Outdoor Track &amp; Field Championships,University of Michigan Outdoor Track Stadium,Ann Arbor,MI,USA,10 MAY 2024,12 MAY 2024,350,158,80922,68,0,"
81272
",,
83,Harry Jerome Track Classic,Swangard Stadium,Burnaby,CAN,15 JUN 2024,16 JUN 2024,960,73,80253,83,0,"
81213
",,,
84,The 2nd Belt and Road Athletics Invitation Meeting &amp; National Grand Prix 5,Olympic Sports Center,Chongqing,CHN,27 MAY 2024,29 MAY 2024,805,88,80391,81,0,"
81196
",,,
85,Maurie Plant Meet,Lakeside Stadium,Melbourne,AUS,15 FEB 2024,15 FEB 2024,1460,44,79614,106,0,"
81074
",,,
86,Meeting International de Forbach,Stade Omnisports Schlossberg,Forbach,FRA,26 MAY 2024,26 MAY 2024,1180,56,79789,101,0,"
80969
",,,
87,Folksam GP Sollentuna,Sollentunavallen,Sollentuna,SWE,16 JUN 2024,16 JUN 2024,980,70,79819,100,0,"
80799
",,,
88,P-T-S meeting,Štadión SNP,Banská Bystrica,SVK,24 MAY 2024,24 MAY 2024,1090,62,79702,104,0,"
80792
",,,
